# Trait Facts Menue-Prueflauf, Mess-Mod 6.40.4, Trait Facts 0.12.12, Spiel 42.20.4 b0bbce05d5
# klick|art|id|urteil|was; zufall|nr|urteil|code|was; tooltip|liste|id|breite|hoehe|urteil; pruef|name|urteil|was
klick|trait|toadtraits:broke|ok|
klick|trait|base:thinskinned|ok|
klick|trait|toadtraits:mundane|ok|
klick|trait|toadtraits:slowworker|ok|
klick|trait|base:illiterate|ok|
klick|trait|toadtraits:immunocompromised|ok|
klick|trait|toadtraits:incomprehensive|ok|
klick|trait|toadtraits:glassbody|ok|
klick|trait|base:weak|ok|
klick|trait|base:unfit|ok|
klick|trait|toadtraits:butterfingers|ok|
klick|trait|base:deaf|ok|
klick|trait|toadtraits:drinker|ok|
klick|trait|toadtraits:amputee|ok|
klick|trait|toadtraits:burned|ok|
zufall|1|ok|TF=SHdlJkfUyjbHxxSsD0[moreTraitsDefinitive#3799050151]gInieINl3|
zufall|2|ok|TF=lj0aAMkn7YzNw9OTSg[moreTraitsDefinitive#3799050151]HMDieItGb|
zufall|3|ok|TF=PuoSSIsD07unNxHsRW[moreTraitsDefinitive#3799050151]81SPH1VN9|
zufall|4|ok|TF=qGaVz5CeJEsoPsI[moreTraitsDefinitive#3799050151]MndOtghsybWP|
zufall|5|ok|TF=6L24V9HgHDMjEsoYJy[moreTraitsDefinitive#3799050151]RXmNc8gIn|
zufall|6|ok|TF=G4VRRQfUy[moreTraitsDefinitive#3799050151]pn8jPNTiTAG4Oi1tjG|
zufall|7|ok|TF=EzBZXABktjbH4zQx8xwM4[moreTraitsDefinitive#3799050151]OH3tfv|
zufall|8|ok|TF=KjlZXAU1u3EyaAM4zQ[moreTraitsDefinitive#3799050151]HiSxvjRrp|
zufall|9|ok|TF=6L2XXdx8x[moreTraitsDefinitive#3799050151]CLaHMDY37gWk6RrNl3|
zufall|10|ok|TF=6L2kn7aSqw3xwM4[moreTraitsDefinitive#3799050151]RXmzYrG0Rtpw|
zufall|11|ok|TF=6L2fUy7unYJyPsI[moreTraitsDefinitive#3799050151]y0SOH3k7YzYr|
zufall|12|ok|TF=dlg1RjH7ADMjsD0WSK[moreTraitsDefinitive#3799050151]81SzYrOLS|
zufall|13|ok|TF=dlgNk4rjg[moreTraitsDefinitive#3799050151]PH1bEYgIngWkM0icOb|
zufall|14|ok|TF=dlg1RjaSqM6M7Rlpol[moreTraitsDefinitive#3799050151]iC9gWkt5Q|
zufall|15|ok|TF=fJI1BQ7Rl1UU[moreTraitsDefinitive#3799050151]sHqkSS2YJcOblL3|
zufall|16|ok|TF=EGKKtew9O[moreTraitsDefinitive#3799050151]bvxsHq1q47C3cIMAQz|
zufall|17|ok|TF=XU2LSzaSq4zQ0DGSSI[moreTraitsDefinitive#3799050151]XiSXdpRrp|
zufall|18|ok|TF=SHdOAkU1ufOBw9O[moreTraitsDefinitive#3799050151]3fengXzAvhsy|
zufall|19|ok|TF=yR3aSqrjg31rkyD1UUsRW[moreTraitsDefinitive#3799050151]MndBnd|
zufall|20|ok|TF=KA1YzNOoXsRW[moreTraitsDefinitive#3799050151]1q4K6ZPESm5r1bz|
zufall|21|ok|TF=wM4w3xDMjEso7un1iG[moreTraitsDefinitive#3799050151]OH3TiTHMD|
zufall|22|ok|TF=XU2Vz5fUyYJy[moreTraitsDefinitive#3799050151]zJrOyWBndi53Nl3|
zufall|23|ok|TF=EzBaSqCg434t7Rl0DGTSg[moreTraitsDefinitive#3799050151]OH3K6Z|
zufall|24|ok|TF=XU2rjgSSIrN9[moreTraitsDefinitive#3799050151]XdpzJrY37K6Zxb3|
zufall|25|ok|TF=dex1RjCeJ[moreTraitsDefinitive#3799050151]sHqY37ieIJcXM0iW9o|
zufall|26|ok|TF=PuoKteBDLXXd34t[moreTraitsDefinitive#3799050151]sHqkSSbEYAQz|
zufall|27|ok|TF=PuogEpLzR3EyxxS[moreTraitsDefinitive#3799050151]pk7TiTbEY4dB|
zufall|28|ok|TF=EGKZXAH7AEsowM4[moreTraitsDefinitive#3799050151]2YJ1P0OyW5U3|
zufall|29|ok|TF=fJI4V9BktEso6sI[moreTraitsDefinitive#3799050151]ngXFjyxvjcIM|
zufall|30|ok|TF=6L2fOBxxS31ryep[moreTraitsDefinitive#3799050151]HiSVN9justGb|
zufall|31|ok|TF=6L2lJk34tGsLNxH[moreTraitsDefinitive#3799050151]FjyzAvW9oAQz|
zufall|32|ok|TF=nmFCeJ[moreTraitsDefinitive#3799050151]XiS3feXJ7zAvM0i7dVZSy|
zufall|33|ok|TF=3X5OS5CeJCg4xxSOoX[moreTraitsDefinitive#3799050151]pk7HMDtjG|
zufall|34|ok|TF=qGaOAkORpgEpU1uH7A[moreTraitsDefinitive#3799050151]ngXVN97dV|
zufall|35|ok|TF=dex4NHBDLXXdxu8YJy[moreTraitsDefinitive#3799050151]Y37tjGVN9|
zufall|36|ok|TF=fJIfUyAeqpolYJy[moreTraitsDefinitive#3799050151]AG4gWkW9otGb|
zufall|37|ok|TF=G4VZXAH7A1lsxxSNKF[moreTraitsDefinitive#3799050151]AG4t5QW9o|
zufall|38|ok|TF=dlgBDLNKFgHnsRW[moreTraitsDefinitive#3799050151]OLSieIbWP9OF|
zufall|39|ok|TF=dexLzRzMQxFbyepsRW[moreTraitsDefinitive#3799050151]OyWRrpuVE|
zufall|40|ok|TF=5Biw3xYdt[moreTraitsDefinitive#3799050151]tfvieIngXJcXtpwcOb|
zufall|41|ok|TF=KjlgHn[moreTraitsDefinitive#3799050151]EoqNc8xvjsYvcIMNl3tGb|
zufall|42|ok|TF=5BigEp0mP0DGNxH[moreTraitsDefinitive#3799050151]ieIngXW9oNl3|
zufall|43|ok|TF=fJIH7AXXdCg4YzNEso[moreTraitsDefinitive#3799050151]kSS2YJ7C3|
zufall|44|ok|TF=KA14V90mP[moreTraitsDefinitive#3799050151]Tr5k7YbEYp2LCj81bz|
zufall|45|ok|TF=KA1XXdfOBOoX[moreTraitsDefinitive#3799050151]pn8OH3Oi1tpw6Rr|
zufall|46|ok|TF=qGaOAkkn7xu8x8xwM4[moreTraitsDefinitive#3799050151]pn8hHrlL3|
zufall|47|ok|TF=wM4RRQfUyDMj1iG[moreTraitsDefinitive#3799050151]lKczAvVN9i53|
zufall|48|ok|TF=HNe4NHjbH[moreTraitsDefinitive#3799050151]CLaXdpzJrgInM0ii53|
zufall|49|ok|TF=dlgAeqCg47RlDMj7un[moreTraitsDefinitive#3799050151]uIhOtgbWP|
zufall|50|ok|TF=RH7fUyHgHxxSFPapol[moreTraitsDefinitive#3799050151]PH1Fjyjus|
zufall|51|ok|TF=G4V6sIsD0[moreTraitsDefinitive#3799050151]sHq3feAG4Eoq1q49OF|
zufall|52|ok|TF=6L2aSq34trN9[moreTraitsDefinitive#3799050151]XdpXJ7FjyhsyM0i|
zufall|53|ok|TF=nmFAeqXXdrjg[moreTraitsDefinitive#3799050151]KfmzYrp2L53vwI7|
zufall|54|ok|TF=wM47RlSSIYJyOoX[moreTraitsDefinitive#3799050151]hsy7dVwI7ZSy|
zufall|55|ok|TF=SHdHgHrN9[moreTraitsDefinitive#3799050151]pn8bvx5JohHrRIXwI7|
zufall|56|ok|TF=xu8TaB[moreTraitsDefinitive#3799050151]pn881SRXmKfmOi1JcXAQz|
zufall|57|ok|TF=5BiNk4zMQCg4Ydt7un[moreTraitsDefinitive#3799050151]sHqCLaRIX|
zufall|58|ok|TF=JPP0mPxFbxbs[moreTraitsDefinitive#3799050151]TiTAG4uIh53vlL3|
zufall|59|ok|TF=qGa4V9LzRCg41iG[moreTraitsDefinitive#3799050151]HiS1q4sgY4dB|
zufall|60|ok|TF=PuoOAkBktfOBxu8[moreTraitsDefinitive#3799050151]3fe1P0hHr53v|
zufall|61|ok|TF=3X5kn7xbs[moreTraitsDefinitive#3799050151]5JoXiS3feLyY1q4zAv|
zufall|62|ok|TF=3X5QJWkn7xu8pkRsRW[moreTraitsDefinitive#3799050151]XJ7Otghsy|
zufall|63|ok|TF=wM40mP6sI[moreTraitsDefinitive#3799050151]1zfXdpgInp2LVN9cIM|
zufall|64|ok|TF=dlgLSz[moreTraitsDefinitive#3799050151]pk7XJ7tjGOtggWkjusW9o|
zufall|65|ok|TF=RH7Bkt1BQDMjkyDrN9[moreTraitsDefinitive#3799050151]xb3m5r1bz|
zufall|66|ok|TF=dlgw3x1lsYJy[moreTraitsDefinitive#3799050151]1zflKcXdpxvjW9o|
zufall|67|ok|TF=JPPORpxxS[moreTraitsDefinitive#3799050151]kSSzJrieIVN96Rr4dB|
