[faelle] fall|seite|stoesse|lang|kurz|umgeworfen|anderes|anteil_lang|erwartet_lang|urteil|hitforce_mittel|hitforce_min|hitforce_max|weg_lang_m|weg_kurz_m|krit_wurf|clips|erwartet_ohne_kleidung|taumel_ticks_lang|taumel_ticks_kurz
stoss|25|strong|hinten|0.662|0.540|0.506|0.506|0.169-0.749|0.423|BEHIND|frombehind|Zombie_PushedFwd_FromBehind|lang|lang|0.399|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.932|0.399|81|0.00,0.00,0.02,0.08,0.16,0.26,0.35,0.40,0.40
stoss|26|ohne|vorn|0.663|0.488|0.327|0.327|0.121-0.536|0.194|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.507|0.595|81|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.48,0.59
stoss|27|ohne|vorn|0.660|0.712|0.475|0.475|0.120-0.533|0.190|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.661|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.500|0.661|61|0.00,0.01,0.04,0.17,0.37,0.52,0.65
stoss|28|ohne|vorn|0.668|0.494|0.333|0.333|0.121-0.540|0.199|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.596|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.518|0.596|80|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.49,0.60
stoss|29|ohne|vorn|0.662|0.627|0.419|0.419|0.120-0.535|0.192|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.660|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.505|0.660|80|0.00,0.00,0.03,0.10,0.21,0.34,0.46,0.56,0.66
stoss|30|ohne|vorn|0.666|0.398|0.268|0.268|0.121-0.538|0.197|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.593|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.514|0.593|77|0.00,0.00,0.02,0.08,0.17,0.27,0.38,0.52
stoss|31|strong|vorn|0.666|0.606|0.571|0.571|0.170-0.753|0.427|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.654|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.938|0.654|78|0.00,0.00,0.03,0.10,0.21,0.34,0.46,0.56
stoss|32|strong|vorn|0.660|0.192|0.179|0.179|0.168-0.747|0.421|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.595|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.929|0.595|80|0.00,0.00,0.03,0.08,0.17,0.27,0.38,0.49,0.59
stoss|33|strong|vorn|0.664|0.451|0.424|0.424|0.169-0.751|0.425|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.652|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.935|0.652|80|0.00,0.00,0.03,0.10,0.22,0.35,0.46,0.56,0.65
stoss|34|strong|vorn|0.664|0.280|0.263|0.263|0.169-0.751|0.425|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.594|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.935|0.594|78|0.00,0.00,0.02,0.08,0.19,0.30,0.40,0.51
stoss|35|strong|vorn|0.665|0.662|0.622|0.622|0.169-0.752|0.426|FRONT|fromfront|Zombie_ShoveStagger_2m|lang|lang|0.661|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.937|0.661|76|0.00,0.00,0.03,0.10,0.21,0.34,0.49,0.61
stoss|36|weak|vorn|0.665|0.260|0.105|0.105|0.073-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.583|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.583|79|0.00,0.00,0.02,0.08,0.17,0.28,0.39,0.49
stoss|37|weak|vorn|0.667|0.226|0.091|0.091|0.073-0.323|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.591|0|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.591|79|0.00,0.00,0.02,0.08,0.17,0.27,0.39,0.50
stoss|38|weak|vorn|0.665|0.351|0.142|0.142|0.073-0.322|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.574|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.574|76|0.00,0.00,0.03,0.07,0.16,0.27,0.38,0.50
stoss|39|weak|vorn|0.657|0.481|0.191|0.191|0.072-0.319|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.597|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.597|79|0.00,0.00,0.03,0.10,0.19,0.29,0.40,0.51
stoss|40|weak|vorn|0.658|0.352|0.140|0.140|0.072-0.319|0.000|FRONT|smallfromfront|Zombie_StaggerBack|kurz|kurz|0.599|1|0|1|-|0.997|p0,s0,a0,m0|staggerback>idle|1|0.000|0.599|69|0.00,0.01,0.05,0.14,0.25,0.39,0.50
