# Fenster aufbrechen: Runner (jogger) und Burglar am verriegelten Fenster
# Mess-Mod 6.51.0
# Build 42.20
# gespielt, nicht aufgerufen: OpenWindowState.onAttemptFinished ist privat und nur ueber AnimEvent erreichbar
# Fenster 10826,9436,0 W, Strength 5, Fitness 5, Alarm keiner
# Schalter beim Start: isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# Schalter am Ende:   isGodMod=false cheatStand.god=true godPause=true UnlimitedEndurance=false ausdauerAus=true
# verglichen mit soll_mod (TF_Static), sonst soll_code; Toleranz je Zeile in der Notiz
# aus den Versuchen: je Fenster 45.0 % ohne, 22.5 % mit Burglar

[ergebnis]
ergebnis|werte=8|stimmen=8|weichen_ab=0|nicht_messbar=0|verworfen=0

[werte] id|trait|ohne|mit|faktor|soll_mod|soll_code|urteil|notiz
wert|normal|jogger|0.0000|0.0000|0.0000|-|0.0000|stimmt|Verlust je Oeffnen und Schliessen, faktor = der groessere; Abzuege ueber 0.001: 0 ohne, 0 mit Runner (soll 0)
wert|aufbrechen|jogger|0.0060|0.0054|0.9000|0.9000|0.9000|stimmt|Abzug je Versuch, 180 Versuche ohne, 46 mit Runner
wert|aufbrechen_abzug|ohne|0.0060|-|0.0060|-|0.0060|stimmt|Abzug je Versuch bei Fitness 5, Toleranz 5 %
wert|fensterklemmt|ohne|45.0000|-|45.0000|49.0000|48.9996|stimmt|Prozent der Fenster, die klemmen: 18 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|fensterklemmt|burglar|-|22.5000|22.5000|31.0000|31.2763|stimmt|Prozent der Fenster, die klemmen: 9 von 40; Strength 5, s = 11.56 %; Toleranz 2 Standardfehler
wert|versuchklemmt|burglar|10.0000|3.9823|0.3982|-|0.5000|stimmt|Prozent Klemmen je Versuch, 180 und 226 Versuche (soll 10 und 5, Z. 163-168); Toleranz 2 Standardfehler
wert|versuchauf|ohne|13.5802|-|13.5802|-|11.5648|stimmt|Prozent Oeffnen je nicht klemmendem Versuch, 162 Versuche (Z. 177-188)
wert|versuchauf|burglar|-|14.2857|14.2857|-|11.5648|stimmt|dasselbe mit Burglar, 217 Versuche; Burglar aendert s nicht

[durchgaenge] nr|art|fall|ergebnis|ausgang|gilt|versuche|ticks|regen_je_tick|verlust|abzuege
durchgang|63|ringen|ohne|klemmt|fertig|1|4|451|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|64|ringen|burglar|auf|fertig|1|15|1587|0.0000000|0.09000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|65|ringen|ohne|auf|fertig|1|18|1856|0.0000000|0.10800|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|66|ringen|burglar|auf|fertig|1|14|1569|0.0000000|0.08400|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|67|ringen|ohne|klemmt|fertig|1|14|1384|0.0000000|0.08400|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|68|ringen|burglar|auf|fertig|1|12|1363|0.0000000|0.07200|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|69|ringen|ohne|klemmt|fertig|1|4|450|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|70|ringen|burglar|auf|fertig|1|2|394|0.0000000|0.01200|0.00600,0.00600
durchgang|71|ringen|ohne|auf|fertig|1|2|388|0.0000000|0.01200|0.00600,0.00600
durchgang|72|ringen|burglar|auf|fertig|1|4|547|0.0000000|0.02400|0.00600,0.00600,0.00600,0.00600
durchgang|73|ringen|ohne|auf|fertig|1|1|301|0.0000000|0.00600|0.00600
durchgang|74|ringen|burglar|auf|fertig|1|2|410|0.0000000|0.01200|0.00600,0.00600
durchgang|75|ringen|ohne|auf|fertig|1|6|788|0.0000000|0.03600|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|76|ringen|burglar|auf|fertig|1|20|2127|0.0000000|0.12000|0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600,0.00600
durchgang|77|ringen|ohne|klemmt|fertig|1|1|147|0.0000000|0.00600|0.00600
durchgang|78|ringen|burglar|klemmt|fertig|1|3|344|0.0000000|0.01800|0.00600,0.00600,0.00600
durchgang|79|ringen|ohne|auf|fertig|1|1|303|0.0000000|0.00600|0.00600
